Section,Type,ICC,CI95%
SECTION A: Engagement,ICC1,0.9606775559588633,[0.93 0.98]
SECTION A: Engagement,ICC2,0.9607492759874305,[0.93 0.98]
SECTION A: Engagement,ICC3,0.9642667194399444,[0.94 0.98]
SECTION A: Engagement,ICC1k,0.9799444615859306,[0.96 0.99]
SECTION A: Engagement,ICC2k,0.9799817730429594,[0.96 0.99]
SECTION A: Engagement,ICC3k,0.9818083357996087,[0.97 0.99]
SECTION B: Funktionalität,ICC1,0.937655067116229,[0.89 0.96]
SECTION B: Funktionalität,ICC2,0.9379354021532618,[0.88 0.97]
SECTION B: Funktionalität,ICC3,0.946446830265849,[0.91 0.97]
SECTION B: Funktionalität,ICC1k,0.9678245452754614,[0.94 0.98]
SECTION B: Funktionalität,ICC2k,0.9679738562091504,[0.93 0.98]
SECTION B: Funktionalität,ICC3k,0.9724867030008538,[0.95 0.98]
SECTION C: Ästhetik,ICC1,0.7361095308529598,[0.58 0.84]
SECTION C: Ästhetik,ICC2,0.7378099329263695,[0.58 0.84]
SECTION C: Ästhetik,ICC3,0.7474423576118489,[0.59 0.85]
SECTION C: Ästhetik,ICC1k,0.8479989514155888,[0.73 0.91]
SECTION C: Ästhetik,ICC2k,0.8491261546467754,[0.73 0.91]
SECTION C: Ästhetik,ICC3k,0.8554701153442851,[0.75 0.92]
SECTION D: Information,ICC1,0.9232801643996482,[0.87 0.96]
SECTION D: Information,ICC2,0.9232300812742769,[0.87 0.96]
SECTION D: Information,ICC3,0.922026273755583,[0.87 0.95]
SECTION D: Information,ICC1k,0.9601099012923581,[0.93 0.98]
SECTION D: Information,ICC2k,0.9600828213570486,[0.93 0.98]
SECTION D: Information,ICC3k,0.9594314982531125,[0.93 0.98]
SECTION E: Subjektive Qualität der App,ICC1,0.9529725406558252,[0.92 0.97]
SECTION E: Subjektive Qualität der App,ICC2,0.9530318091451293,[0.92 0.97]
SECTION E: Subjektive Qualität der App,ICC3,0.955440082571093,[0.92 0.97]
SECTION E: Subjektive Qualität der App,ICC1k,0.9759200611554003,[0.96 0.99]
SECTION E: Subjektive Qualität der App,ICC2k,0.9759511388217331,[0.96 0.99]
SECTION E: Subjektive Qualität der App,ICC3k,0.9772123330057151,[0.96 0.99]
SECTION F: Wahrgenommene Wirkung der App,ICC1,0.9681845612021805,[0.94 0.98]
SECTION F: Wahrgenommene Wirkung der App,ICC2,0.9681930570665611,[0.94 0.98]
SECTION F: Wahrgenommene Wirkung der App,ICC3,0.9687104179860672,[0.95 0.98]
SECTION F: Wahrgenommene Wirkung der App,ICC1k,0.9838351344558935,[0.97 0.99]
SECTION F: Wahrgenommene Wirkung der App,ICC2k,0.9838395208136521,[0.97 0.99]
SECTION F: Wahrgenommene Wirkung der App,ICC3k,0.9841065594370445,[0.97 0.99]
